misdeed	 n.  罪行， 犯罪
electromagnet	 n.  电磁体
peripheral	 adj.  周界的， 外围的， 外部的， 边缘的
discretion	 n.  判断 ， 辨别  ； 慎重， 谨慎
bailiff	 n.  法庭监守， 法警
beget	 vt.  做父亲； 为…生父； 产生； 引起， 招致
sordid	 adj.  肮脏的
magnanimous	 adj.  宽宏大量的； 高尚的
luminary	 n.  发光体； 才智出众的人
enamor	 v.  使倾心； 使迷恋
relevant	 adj.  有关的
deter	 v.  阻止
synthetic	 adj.  合成的， 人造的； 综合的
commodious	 adj.  宽敞的
enthrone	 v.  使登基； 崇拜， 尊崇
forceps	 n.  镊子
proclaim	 v.  宣告， 声明； 显示， 显露
jeopardize	 vt.  危害
tense	 adj. 拉紧的， n. 时态
protuberate	 v.  隆起， 凸出
excrement	 n.  排泄物
preordain	 v.  预定； 注定
decorous	 adj.  有礼貌的
predominant	 adj.  主要的， 支配的； 流行的
pyre	 n.  火葬用的柴堆
purposeful	 adj.  有目的的； 有意义的
arboriculture	 n.  树木的培植 		【记】	词根记忆： arbor  + i + culture  → 树木的培植
decent	 adj.  体面的， 像样的； 正派的， 合乎礼仪的； 合适的
hostility	 n.  敌意， 敌视， 敌对； 反对， 抵抗， 战争 ， 战斗
autobiography	 n.  自传
regularity	 n.  规则性， 规律性， 一致性
pseudonym	 n.  假名； 笔名
naturalistic	 adj.  自然的； 自然主义的
switch	 n.  开关
preservation	 n.  保存
total	 adj. 完全的，彻底的 n. 总数，总量，总额 v. 总数为，共计
auxiliary	 adj.  辅助的； 补助的
astounding	 adj.  令人惊讶的
socialize	 v.  交往、 交际
savage	 adj. 野蛮的，未开化的 n.  原始的人， 粗鲁的人
auspicious	 adj.  吉兆的； 幸运的
misbehavior	 n.  不礼貌； 品行不端
clockwise	 adv. 顺时针方向地
benignity	 n.  仁慈； 善行
frightful	 adj.  可怕的， 非常的
lobby	 v.  向议员游说 n. 门廊，门厅；休息厅
dormant	 adj.  休眠的； 冬眠的
acknowledge	 vt.  承认； 致谢
equipoise	 n.  平衡； 均衡
ameliorate	 v.  改善， 改进
decrepit	 adj.  衰老的
equilateral	 adj.  等边的 n. 等边形
posse	 n.  武装队
overthrow	 v. 〔尤指用武力〕颠覆，推翻〔某领导或政府〕 n. 〔尤指用武力对某领导或政府的〕打倒，推翻
hereditary	 adj.  遗传  的
stanch	 v.  止
repartee	 n.  巧妙的应答
preamble	 n.  序文； 前言
hoard	 v.  贮藏， 囤积， 积蓄 n. 储藏物；储藏，积蓄
specialty	 n.  专业
ensnare	 v.  诱捕
squalid	 adj.  肮脏的； 卑劣的
coherent	 adj.  黏在一起的， 黏附的； 一致的； 连贯的， 条理清楚的
inviolable	 adj.  神圣的； 不可亵渎的； 不可侵犯的
clandestine	 adj.  秘密的
episode	 n.  一段情节， 片断，  一集
infrared	 n.  红外线
respondent	 n.  回答问题的人； 被告
ponder	 v.  思索， 考虑， 沉思
transgress	 v.  违反， 犯罪， 侵犯
objective	 adj.  客观的， 真实的 n. 目标，目的；物镜
desertification	 n.  沙漠化
exert	 v.  尽 ， 施加
unduly	 adv.  不适当地， 过度地， 不正当地
insolent	 adj.  傲慢的； 无礼的
guile	 n.  狡猾， 诡计，奸诈
dormancy	 n.  休眠状态
hinder	 v.  阻止， 妨碍
reputable	 adj.  声誉好的
betrothal	 n.  婚约
adjunct	 adj.  附属的； 辅助的 n. 附件；助手
altruistic	 adj.  利他的， 无私心的
alcohol	 n.  酒精
sycophant	 n.  拍马屁的人， 谄媚者， 奉承者
interpreter	 n.  解释者， 口译员
hurricane	 n.  飓风
exculpate	 v.  开脱； 申明  无罪
miscount	 v.  数错
secondary	 adj.  第二的； 间接的， 非原始的
joggle	 v.  轻摇， 摇动
transgenic animals	 [遗] 转基因动物，转化的动物
remorseless	 adj.  无恻隐心的
hustle	 v.  急速活动
affront	 v.  公开侮辱， 冒犯； 面对 n. 公开侮辱，轻蔑
heedful	 adj.  注意的， 留心的
motor	 n.  电动机
sermonize	 v.  讲道， 布道； 对…说教
access	 v.  接近 n. 接近，进入；入口，通道；接近的方法
primitive	 adj.  原始的， 远古的， 早期的； 粗糙的， 简单的
overcome	 v.  战胜， 克服， 胜过； 征服
sum	 n.  和
obliterate	 v.  消灭， 冲刷 ； 忘却； 涂抹， 遮蔽； 擦去
obligate	 vt.  使负义务
ken	 n.  视野； 知识领域， 见地
transpire	 v.  发生； 使蒸发； 使排出； 泄露
herbivorous	 adj.  食草的
heretical	 adj.  异教的； 异端的
key	 n.  电键
misanthropy	 n.  厌世； 不愿与人来往
orator	 n.  演说者， 演讲者
penurious	 adj.  吝啬的； 缺乏的
merriment	 n.  欢乐； 嬉戏
nondescript	 adj.  难以区别的； 无特征的
understate	 v.  保守地说， 有意轻描淡写
centurion	 n.  百人队长， 百夫长
homeostasis	 n.  体内平衡
bug	 n. 小虫，臭虫；毛病 vt.  打扰
gallop	 v. 〔马〕飞奔，疾驰 n. 飞速
prescient	 adj.  预知的； 有先见的
censorious	 adj.  爱批判的， 挑剔的
somnolent	 adj.  想睡的； 催眠的
intervene	 v.  干涉， 干预； 插入， 介入； 指  介于其间
dissent	 v.  持异议
vertex	 n.  顶点
revelation	 n.  显示， 揭露
auricle	 n.  外耳
indolence	 n.  懒惰
ovum	 n.  卵细胞
excoriate	 v.  擦伤  ， 磨掉  ； 痛斥， 责骂
garner	 v.  收藏， 储藏； 取得， 获得
advocate	 n.  提倡者， 鼓吹者 vt.  提倡， 鼓吹
posthumous	 adj.  死后的
frequency	 n.  频率
zero	 n.  零
subjection	 n.  征服
austerity	 n.  严峻， 严厉； 朴素， 节俭； 苦行
variant	 n.  变体， 变种， 变形
missile	 n.  导弹， 发射物
dynamic	 adj.  动力的； 动力学的； 动态的
sector	 n.  扇形
parch	 v.  烤干， 焦干
polemics	 n.  辩论术， 辩论法
demeanor	 n.  行为， 风度
taciturn	 adj.  沉默寡言的
pedant	 n.  学究
despoil	 v.  剥夺； 掠夺
query	 v.  向…提问 n.  疑问， 问题
degree	 n.  度； 度数
anhydrous	 adj.  无水的
colloquy	 n.  谈话， 会话
cogent	 adj.  强有力的， 使人信服的
subjacent	 adj.  在底下的， 在下方的， 在下级的
numerator	 n.  分数的分子
tube	 n.  试管
discord	 n.  不一致， 意见不合； 嘈杂声； 不和谐
naval	 adj.  海军的， 军舰的
altruism	 n.  利他主义 ， 无私
expend	 v.  消费， 花费， 支出
myopia	 n.  近视； 缺乏远见
illegible	 adj.  难辨认的， 字迹模糊的
demonstrate	 v.  证明， 证实； 演示， 举例说明； 表明
altruist	 n.  利他主义者
concupiscence	 n.  强烈的性欲
fanfare	 n.  喇叭或号角嘹亮的吹奏声； 吹牛
doleful	 adj.  悲哀的； 阴沉的
vitiate	 v.  损害
ambidextrous	 adj.  两手都善用的
austere	 adj.  严峻的， 严厉的；  一丝不苟的； 简朴的
vivid	 adj.  鲜艳的； 生动的， 栩栩如生的
fraternal	 adj.  兄弟的； 兄弟般的； 友爱的
assent	 n. 同意，赞成 v. 〔经审慎考虑后〕同意，赞成
adulate	 v.  奉承， 献媚
compulsion	 n. 〔难以克制的〕强烈欲望，冲动
gradual	 adj.  逐渐的， 逐步的
corrupt	 v. 贿赂，收买；使腐败，使败坏 adj.  腐败的， 贪污的； 被破坏的
preclude	 vt.  阻止， 排除， 妨碍
phosphate	 n.  磷酸盐
colossus	 n.  巨像； 巨人
transmit	 v.  传播， 发射； 传递， 传导
commemorate	 v.  纪念， 庆祝
technology	 n.  工艺， 科技， 技术
repertory	 n.  保留剧目汇演
apathy	 n.  缺乏感情或兴趣； 冷漠
voltage	 n.  电压
mediocre	 adj.  平凡的
vaccine	 n.  疫苗
credulity	 n.  易信， 轻信
zest	 n.  趣味； 热情， 热心
drought	 n.  旱灾， 干旱
unbiased	 adj.  没有偏见的
periodical	 adj.  周期的， 定期的 n. 期刊，杂志
leaflet	 n.  小叶， 嫩叶； 传单， 活页
punctual	 adj.  严守时刻的， 准时的
compromise	 v.  妥协， 折衷； 危及…安全 n. 妥协，折衷
sapid	 adj.   有味道的， 滋味好的；  有趣味的
gullible	 adj.  易受骗的
expedite	 v.  加速
laudatory	 adj.  赞美的， 赞赏的
humility	 n.  谦恭， 卑微
comparative	 adj.  比较的， 相当的
potent	 adj.  有力的， 有效的
hesitant	 adj.  犹豫的， 犹豫不决的 ； 吞吞吐吐的
cognate	 adj.  同词源的， 同类的
commencement	 n.  开始； 毕业典礼
meritorious	 adj.  有功的
recant	 v.  放弃； 撤回
frizzle	 v.  使卷缩， 使卷曲
periscope	 n.  潜望镜
justify	 vt. 证明…是正当的，
wrath	 n.  愤怒， 大怒
entrench	 v.  以壕沟防护
tenet	 n.  原则； 信条； 教义
inclusive	 adj.  包括的， 包含的
ethnic	 adj.  人种的， 种族的
spectacle	 n.  奇观， 景象
antibody	 n.  抗体
amok	 adv.  狂乱地； 杀气腾腾地
plagiarism	 n.  剽窃， 抄袭； 剽窃物
pillage	 v.  掠夺
motto	 n.  座右铭， 格言
acquainted	 adj.  认识的； 通晓的
juvenile	 adj.  青少年的， 少年特有的； 幼稚的 n. 未成年人，少年
sensitivity	 n.  灵敏度
pervasive	 adj.  弥漫的； 广泛存在的， 普遍的
laborious	 adj.   艰苦的， 费力的；  勤劳的
spasmodic	 adj.  痉挛的； 间歇性的
flag	 v.  无力地下垂， 低垂； 变弱， 疲乏； 精力或力量上的减弱 n. 国旗，旗帜；标志，特征
sympathetic	 adj.  同情的； 共鸣的， 赞同的
sophistical	 adj.  诡辩的； 强词夺理的
insignificant	 adj.  无关紧要的； 可忽略的
unsavory	 adj.  声名狼藉的， 寡廉鲜耻的； 难吃的
gargantuan	 adj.  巨大的， 庞大的
languid	 adj.  疲倦的； 无力的； 没精打采的
botany	 n.  植物学的
perceptible	 adj.  可感知的， 可以理解的
range	 n.  量程
aurora	 n.  曙光， 极光
glamorous	 adj.  迷人的， 富有魅力的
wean	 v.  使断奶； 使丢弃， 使断念
spinous	 adj.  多刺的
disprove	 v.  证明…不成立， 证明…是错误的
derive	 v.  取得， 导出， 引申； 起源于， 出自
prokaryotic cell	 [细胞] 原核细胞
distressed	 adj.  哀伤的
reconnoiter	 v.  侦察； 勘查
complacence	 n.  满足； 自满
assert	 vt.  断言； 坚持； 主张； 维护
penchant	 n.   倾向； 趣味； 嗜好
place	 n.   数
irrational	 adj.  无理性的， 失去理性的
glacial	 adj.  冰冷的； 冰的， 冰状的
coddle	 v.  娇养， 溺爱； 悉心照料
observation	 n.  观察
ascendant	 adj.  上升的； 优势的 n. 优越，支配力
refurbish	 v.  再磨光； 刷新
lead	 n.  导线
token	 n.  辅币
fraction	 n.  分数
filter	 n.  滤管
torturous	 adj.  折磨的， 痛苦的
expect	 v.  期待， 预期， 盼望， 指望
inexorable	 adj.  无情的
soothe	 v.  安慰， 使平静； 缓和 ， 减轻
emotion	 n.  情绪， 情感
assess	 vt.  估定； 评定
miser	 n.  守财奴； 吝啬鬼
prescription	 n.  指示， 规定； 法规； 药方， 处方； 医生开的药
apprehensive	 adj.  忧虑的， 担心的； 有理解力的
parochial	 adj.  教区的； 地方性的； 狭隘的， 狭小的
periodicity	 n.  周期性
submission	 n.  屈服， 降服
apology	 n.  道歉， 歉意， 认错
arguable	 adj.  可辩论的， 可论证的
incipient	 adj.  初始的
foliate	 adj.  叶状的
utter	 adj. 完全的，彻底的，十足的 v.  发出声音
calumny	 n.  诽谤， 中伤
perspicacious	 adj.  有洞察力的
incognito	 adj.  隐名埋姓的
hypodermic	 adj.  皮下的
bustle	 vi.  匆匆忙忙 n. 忙乱；喧嚣
tremendous	 adj.  巨大的， 极大的
escalate	 v.   逐步增长 ，  逐步升级，  更紧张； 逐步上升， 逐步加强， 扩大
condense	 v.   压缩，  凝结； 精简
substantiate	 v.  使实体化； 证实
divert	 vt.  使转向， 使改道  ； 转移…的注意力； 使消遣， 使娱乐
divers	 adj.  各种各样的
conspicuous	 adj.  显眼的， 明显的
raucous	 adj.  沙哑的； 刺耳的
indistinct	 adj.  不清楚的； 模糊的， 朦胧的
tenure	 n.   占有，  使用  ， 所有权； 保有， 享有
obesity	 n.  肥胖症， 过胖
hallmark	 n.   检验标记； 质量证明； 特点
effusion	 n.  溢出， 泻出
suave	 adj.  温和的
skittish	 adj.  易惊的， 羞怯的， 胆小的； 多变的
cadence	 n.   抑扬顿挫； 节奏， 韵律， 调子
reparation	 n.  赔偿， 弥补， 修理
suffrage	 n.  投票； 选举权， 参政权
semiconscious	 adj.  半意识的
declaim	 v.  雄辩， 演说
interim	 adj. 暂时的，临时的 n.  间歇， 过渡期间， 中间时期
testimony	 n.  证据， 证词； 表明， 说明
enforce	 v.  实施， 执行； 强制
fragile	 adj.  脆弱的， 易受伤害的； 易碎的
painstaking	 adj.  辛勤的， 艰苦的
secretive	 adj.  隐匿的， 隐秘的
raconteur	 n.  善谈者
ferocious	 adj.  凶恶的， 残忍的， 凶猛的； 十分强烈的， 极度的
forage	 v.  搜索 n. 草料
colloid	 n.  胶体
gigantic	 adj.  巨大的， 庞大的
geology	 n.  地质
nomadic	 adj.  游牧的； 流浪的
numerical	 adj.  数字的， 用数字表示的
readjust	 v.  重新调整， 再调整
eligible	 adj.  符合条件的， 合格的；  合适的， 合意的
endurable	 adj.  可忍受的， 能忍耐的
besmirch	 v.  弄污； 诽谤
glacier	 n.  冰川， 冰河
ultimatum	 n.  最后通牒
filch	 v.  偷窃  ， 窃取
illustrious	 adj.  杰出的， 著名的， 光荣的； 辉煌的， 灿烂的
unconscious	 adj.  无意识的， 失去知觉的； 不知道的， 没觉察到
ratiocination	 n.  推理
idle	 adj. 空闲的，闲置的；无用的，无效的；懒散的 v.  空费， 虚度
satisfy	 v.  使…成立
earthworm	 n.  蚯蚓
enervate	 v.  使衰弱； 使无力
canto	 n.  长诗中的篇
blithe	 adj.  愉快的， 高兴的
hail	 v. 下雹；向…欢呼，欢迎 n.  雹
passive	 adj.  被动的， 消极的
efficacy	 n.  功效
nauseous	 adj.  令人作呕的； 使人厌恶的
betimes	 adv.  早； 及时
divest	 v.  剥夺， 脱去
oblivious	 adj.  遗忘的， 忘却的； 茫然的， 不自觉的
informal	 adj.  不正式的； 不拘礼节的
