reproduce	 v. 复制；再生；生殖；使…在脑海中重现
halfway	 adv. 到一半；在中途 adj. 中途的；不彻底的
berry	 n. 浆果（葡萄，番茄等） v. 采集浆果
provocative	 adj. 刺激的，挑拨的；气人的 n. 刺激物，挑拨物；兴奋剂
feminism	 n. 女权主义；女权运动；男女平等主义
inflammatory	 adj. 炎症性的；煽动性的；激动的
optics	 n. [光] 光学
scapegoat	 n. 替罪羊，替人顶罪者；替身 vt. 使成为…的替罪羊
devote	 v. 致力于；奉献
decry	 v. 责难，谴责；诽谤
fieldwork	 n. 野外工作；现场工作；野战工事
rumble	 v. 使隆隆响；低沉地说 n. 隆隆声；抱怨声
removal	 n. 免职；移动；排除；搬迁
tiresome	 adj. 烦人的，无聊的；令人讨厌的
cheerful	 adj. 快乐的；愉快的；高兴的
hasten	 v. 加速；使赶紧；催促
dislodge	 v. 逐出，驱逐；使……移动；用力移动
indict	 v. 控告，起诉；[法] 揭发
killer	 n. 杀手；致死；止痛药；宰杀的器具；断路器
oxygen	 n. [化学] 氧气，[化学] 氧
incorporate	 v. 包含，吸收；体现；把……合并 adj. 合并的；一体化的；组成公司的
colt	 n. 小马；生手 vt. 以笞绳鞭打
workbook	 n. 工作手册；练习簿
gorgeous	 adj. 华丽的，灿烂的；极好的
prostate	 adj. 前列腺的 n. [解剖] 前列腺
aptitude	 n. 天资；自然倾向；适宜
describe	 v. 描述，形容；描绘
spicy	 adj. 辛辣的；香的，多香料的；下流的
centralise	 v. 把…集中起来；形成中心
consignment	 n. 委托；运送；托付物
fulfil	 v. 履行；完成；实践；满足
seaman	 n. 海员，水手；水兵
rugger	 n. 英式橄榄球
feckless	 adj. 无效的；软弱的；没精神的；不负责任的；无气力的
uneducated	 adj. 无知的；未受教育的 v. 未受教育（uneducate的过去分词）
berth	 n. 卧铺；停泊处，锚位；差事 v. 使……停泊；为……提供铺位
connotation	 n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
irresistible	 adj. 不可抵抗的；不能压制的；极为诱人的
eject	 v. 喷射；驱逐，逐出
induct	 v. 引导；感应；使…就职；征召入伍
refugee	 n. 难民，避难者；流亡者，逃亡者
dissertation	 n. 论文，专题；学术演讲
endow	 v. 赋予；捐赠；天生具有
hacksaw	 n. 钢锯；可锯金属的弓形锯 vt. 用钢锯锯断
picture	 n. 照片，图画；影片；景色；化身 v. 画；想像；描写
outside	 adj. 外面的，外部的；外来的 n. 外部；外观 adv. 在外面，向外面；在室外 prep. 在…范围之外
feminine	 adj. 女性的；妇女（似）的；阴性的；娇柔的
Braille	 v. 用盲字印 n. 布莱叶（法国盲人教育家）；盲人用点字法
psychotherapy	 n. 心理疗法；精神疗法
apparently	 adv. 显然地；似乎，表面上
commissioner	 n. 理事；委员；行政长官；总裁
prestigious	 adj. 有名望的；享有声望的
salient	 adj. 显著的；突出的；跳跃的 n. 凸角；突出部分
cabaret	 n. 卡巴莱歌舞表演；卡巴莱餐馆
accede	 v. 加入；同意；就任
mentality	 n. 心态；[心理] 智力；精神力；头脑作用
sleepy	 adj. 欲睡的；困乏的；不活跃的
induction	 n. [电磁] 感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
kettle	 n. 壶；[化工] 釜；罐；鼓
fighting	 adj. 战斗的；好战的；适于格斗的 n. 战斗，搏斗 v. 奋斗（fight的ing形式）；打仗；与…进行拳击
augment	 v. 增加；增大 n. 增加；增大
attract	 v. 吸引；引起
scientific	 adj. 科学的，系统的
encompass	 v. 包含；包围，环绕；完成
upsurge	 n. 高潮，高涨 vi. 涌起，高涨
ballet	 n. 芭蕾舞剧；芭蕾舞乐曲
system	 n. 制度，体制；系统；方法
claw	 n. 爪；螯，钳；爪形器具 v. 用爪抓（或挖）
attribute	 n. 属性；特质 v. 归属；把…归于
canteen	 n. 食堂，小卖部；水壶
index	 n. 指标；指数；索引；指针 v. 做索引
canvass	 v. 细究；彻底检查；向…拉票或拉生意 n. 讨论；细查；劝诱
cola	 n. 可乐；可乐树（其子含咖啡碱）
bobsleigh	 n. 长橇，雪橇 vi. 乘大雪橇；滑大雪橇比赛
last	 n. 末尾，最后；上个；鞋楦（做鞋的模型） adj. 最后的；最近的，最新的；仅剩的；最不可能…的 v. 持续；维持，够用；持久 adv. 最后地；上次，最近；最后一点
slimnastics	 n. 减肥体操；健美操
librarian	 n. 图书馆员；图书管理员
renovate	 v. 更新；修复；革新；刷新
blot	 v. 吸墨水；弄上墨渍或污渍 n. 污点，污渍；墨水渍
praise	 n. 赞扬；称赞；荣耀；崇拜 v. 赞美，歌颂；表扬
October	 n. [天] 十月
female	 adj. 女性的；雌性的；柔弱的，柔和的 n. 女人；[动] 雌性动物
commentator	 n. 评论员，解说员；实况播音员；时事评论者
antler	 n. 鹿角，茸角；多叉鹿角
knowledge	 n. 知识，学问；知道，认识；学科
sunburn	 n. 晒黑；[皮肤] 晒斑 v. 晒伤皮肤；晒红皮肤；晒黑皮肤
hypertension	 n. 高血压；过度紧张
climactic	 adj. 高潮的；顶点的；渐层法的
ventricle	 n. 室；心室；脑室
maladministration	 n. 管理不善；弊政
ostrich	 n. 鸵鸟；鸵鸟般的人
auctioneer	 v. 拍卖 n. 拍卖商
nest	 n. 巢，窝；安乐窝；温床 v. 筑巢；嵌套
latitude	 n. 纬度；界限；活动范围
external	 adj. 外部的；表面的；[药] 外用的；外国的；外面的 n. 外部；外观；外面
legislation	 n. 立法；法律
backward	 adj. 向后的；反向的；发展迟缓的 adv. 向后地；相反地
bash	 v. 猛击，痛击；怒殴 n. 猛烈的一击，痛击
saint	 n. 圣人；圣徒；道德崇高的人 adj. 神圣的 v. 成为圣徒
discriminate	 v. 歧视；区别；辨别
backbone	 n. 支柱；主干网；决心，毅力；脊椎
readiness	 n. 敏捷，迅速；准备就绪；愿意
suspend	 v. 延缓，推迟；使暂停；使悬浮
irreconcilable	 adj. 矛盾的；不能和解的；不能协调的
unlisted	 adj. 未上市的；未编入册的
tacky	 adj. 俗气的；发黏的；缺乏教养或风度的
stardom	 n. 演员们；明星界；明星身份
synthesis	 n. 综合，[化学] 合成；综合体
tomb	 n. 坟墓；死亡 vt. 埋葬
wreathe	 v. 用花环装饰；将…做成花环；包围；覆盖
unashamed	 adj. 无耻的；恬不知耻的；问心无愧的
outrageous	 adj. 粗暴的；可恶的；令人吃惊的
transform	 v. 改变，使…变形；转换
keeper	 n. 监护人；饲养员；看守人；管理人
crowd	 n. 群众,一伙;一堆,许多,大众 v. 拥挤,挤满,挤进
brunt	 n. 冲击；主要冲力
Buddhist	 n. 佛教徒 adj. 佛教的
radius	 n. 半径，半径范围；[解剖] 桡骨；辐射光线；有效航程
forgive	 v. 原谅；免除（债务、义务等）
locker	 n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
independence	 n. 独立性，自立性；自主
realistic	 adj. 现实的；现实主义的；逼真的；实在论的
consign	 v. 交付；托运；寄存；把…委托给
exacerbate	 v. 使加剧；使恶化；激怒
insist	 v. 坚持，强调
cucumber	 n. 黄瓜；胡瓜
exotic	 adj. 异国的；外来的；异国情调的
online	 adj. 联机的；在线的 adv. 在线地
lion	 n. 狮子；名人；勇猛的人；社交场合的名流
conclusive	 adj. 决定性的；最后的；确实的；确定性的
irrigate	 v. 灌溉；冲洗；使清新
jagged	 adj. 锯齿状的；参差不齐的 v. 使成缺口；使成锯齿状（jag的过去式）
inertia	 n. [力] 惯性；惰性，迟钝；不活动
flop	 v. 笨拙地抛下；扑通放下；拍（翅） n. 失败；砰然落下；拍击声 adv. 扑通一声；恰巧
imperceptible	 adj. 感觉不到的；极细微的
Asia	 n. 亚洲
theology	 n. 神学；宗教体系
nestle	 v. 舒适地坐定；偎依；半隐半现地处于
whichever	 pron. 任何一个；无论哪个 adj. 无论哪个；无论哪些
acquit	 v. 无罪释放；表现；脱卸义务和责任；清偿
thou	 pron. 你；尔，汝（古时候的叫法） n. (Thou)人名；(法、柬)图
outfit	 n. 机构；用具；全套装备 v. 得到装备
ennoble	 v. 使…成为贵族；使…高贵；授予爵位
pollutant	 n. 污染物
columnist	 n. 专栏作家
chaotic	 adj. 混沌的；混乱的，无秩序的
thumb	 v. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄 n. 拇指
charwoman	 n. 按日雇用的女佣；打杂的女佣人
rasp	 v. 用粗锉刀锉；粗声粗气地说 n. [机] 粗锉刀；锉磨声；刺耳声
lurk	 v. 潜伏；潜藏；埋伏 n. 潜伏；埋伏
newsletter	 n. 时事通讯
cheat	 v. 欺骗；骗取 n. 欺骗，作弊；骗子
prune	 v. 删除；减少 n. 深紫红色；傻瓜；李子干
magnate	 n. 巨头；大资本家；要人；富豪；……大王
elasticity	 n. 弹性；弹力；灵活性
lecturer	 n. 讲师，演讲者
environmentalism	 n. 环境保护论
mayor	 n. 市长
harm	 n. 伤害；损害 v. 伤害；危害；损害
acceptable	 adj. 可接受的；合意的；可忍受的
spoken	 adj. 口语的，口头的 v. 说（speak的过去分词）
spine	 n. 脊柱，脊椎；刺；书脊
nominee	 n. 被任命者；被提名的人；代名人
hereto	 adv. 到此为止；关于这个
ascribe	 v. 归因于；归咎于
transpose	 v. 调换；移项；颠倒顺序 n. 转置阵
translucent	 adj. 透明的；半透明的
visibility	 n. 能见度，可见性；能见距离；明显性
ceremonial	 adj. 仪式的；正式的，礼仪的 n. 仪式，礼节
demonstration	 n. 示范；证明；示威游行
character	 n. 性格，品质；特性；角色；[计] 字符 v. 印，刻；使具有特征
cocaine	 n. [药] 可卡因
feeling	 n. 感觉，触觉；感情，情绪；同情 adj. 有感觉的；有同情心的；富于感情的 v. 感觉；认为（feel的现在分词）；触摸
druggist	 n. 药剂师；药商；（美）药房老板（兼营化妆品、文具、牙膏、漱口剂、香烟等杂货的）
flounder	 v. 挣扎，折腾；错乱地做事或说话 n. 挣扎，辗转；比目鱼
emphatic	 adj. 着重的；加强语气的；显著的
representative	 adj. 典型的，有代表性的；代议制的 n. 代表；典型；众议员
desolate	 adj. 荒凉的；无人烟的 v. 使荒凉；使孤寂
hindquarters	 n. （动物的）尾部；两条后腿；半边胴体的后半部（hindquarter的复数）
frail	 adj. 脆弱的；虚弱的 n. 灯心草篓；少妇；少女
pigsty	 n. 猪舍；木垛；脏乱的地方
bride	 n. 新娘；姑娘，女朋友
henpecked	 adj. 惧内的
motion	 n. 动作；移动；手势；请求；意向；议案 v. 运动；打手势
spy	 v. 侦察；发现；暗中监视 n. 间谍；密探
cactus	 n. [园艺] 仙人掌
shanghai	 n. 上海（中国东部港市）
natural	 adj. 自然的；物质的；天生的；不做作的 n. 自然的事情；白痴；本位音
virgin	 adj. 处女的；纯洁的；未经利用的，处于原始状态的 n. 处女
cajole	 v. 以甜言蜜语哄骗；勾引
apoplexy	 n. [医] 中风
scholarship	 n. 奖学金；学识，学问
workshop	 n. 车间；研讨会；工场；讲习班
region	 n. 地区；范围；部位
twinkle	 v. 闪烁；发亮 n. 闪烁
pink	 n. 粉红色；化身，典范；石竹花；头面人物 v. 扎，刺，戳；使…变粉红色；使…面红耳赤 adj. 粉红的；比较激进的；石竹科的；脸色发红的
autobiographic	 adj. 自传的；自传体的；自传作家的
glimpse	 n. 一瞥，一看 v. 瞥见
jab	 v. 戳；猛击；用拨火棒等捅 n. 戳；猛击；注射
estimate	 v. 估计，估价 n. 估计，估价；判断，看法
sell	 v. 销售；推销；出卖；欺骗 n. 销售；失望；推销术
cancel	 v. 取消；删去 n. 取消，撤销
daughter	 n. 女儿；[遗][农学] 子代 adj. 女儿的；子代的
goody	 n. 糖果；身份低微之老妇；吸引人的东西；伪君子 adj. 感伤的；伪善的；假正经的 int. 太好啦
brigade	 n. 旅；大部队；队列 v. 把…编成旅；把…编成队
ready	 adj. 准备好；现成的；迅速的；情愿的；快要…的 n. 现款；预备好的状态 adv. 迅速地；预先 v. 使准备好
underdog	 n. 比赛中不被看好者；失败者；受压迫者；斗败了的狗
sow	 v. 播种；散布；使密布 n. 母猪
empirical	 adj. 经验主义的，完全根据经验的；实证的
injection	 n. 注射；注射剂；充血；射入轨道
irradiate	 v. 照耀；使灿烂；启发；放射；使某物生辉 adj. 发光的
watertight	 adj. 水密的；不漏水的；无懈可击的
major	 adj. 主要的；重要的；主修的；较多的 n. [人类] 成年人；主修科目；陆军少校 v. 主修
sheen	 n. 光辉，光泽，光彩 adj. 光辉的；有光泽的；华丽的 vi. 闪耀；发光
thirtieth	 num. 第三十；三十分之一 adj. 第三十个的；三十分之一的 n. 第三十；三十分之一
scalar	 adj. 标量的；数量的；梯状的，分等级的 n. [数] 标量；[数] 数量
smear	 v. 诽谤；弄脏；涂上；把…擦模糊 n. 涂片；诽谤；污点
copy	 v. 复制；复印；抄袭 n. 副本；一册；摹仿
gaiety	 n. 快乐，兴高采烈；庆祝活动，喜庆；（服饰）华丽，艳丽
setback	 n. 挫折；退步；逆流
legendary	 adj. 传说的，传奇的 n. 传说集；圣徒传
transmit	 v. 传输；传播；发射；传达；遗传
chase	 v. 追逐；追捕；试图赢得；雕镂 n. 追逐；追赶；追击
vine	 n. 藤；葡萄树；藤本植物；攀缘植物 vi. 长成藤蔓；爬藤
home	 n. 家，住宅；产地；家乡；避难所 adv. 在家，回家；深入地 adj. 国内的，家庭的；有效的 v. 归巢，回家
exclusively	 adv. 唯一地；专有地；排外地
plant	 n. 工厂，车间；植物；设备；庄稼 v. 种植；培养；栽培；安置
fluid	 adj. 流动的；流畅的；不固定的 n. 流体；液体
intercom	 n. 对讲机；内部通话装置
screwdriver	 n. 螺丝刀
yet	 adv. 还；但是；已经 conj. 但是；然而 n. (Yet)人名；(东南亚国家华语)一
imagery	 n. 像；意象；比喻；形象化
takeaway	 adj. 外卖的；外吃的 n. 外卖食品；外卖餐馆
corpse	 n. 尸体
sit	 v. 坐；位于 n. (Sit)人名；(东南亚国家华语)硕；(罗)西特
ill	 adj. 生病的；坏的；邪恶的；不吉利的 adv. 不利地；恶劣地；几乎不 n. 疾病；不幸
facet	 n. 面；方面；小平面 vt. 在…上琢面
someone	 pron. 有人，某人
verse	 n. 诗，诗篇；韵文；诗节 v. 作诗
resonance	 n. [力] 共振；共鸣；反响
aerosol	 n. [物化] 气溶胶；气雾剂；喷雾器；浮质 adj. 喷雾的；喷雾器的
tremble	 v. 发抖；战栗；焦虑；摇晃 n. 颤抖；战栗；摇晃
perpetuate	 v. 使不朽；保持 adj. 长存的
attache	 n. 专员，公使；使馆随员；大使馆专员
dilemma	 n. 困境；进退两难；两刀论法
inflection	 n. 弯曲，变形；音调变化
gratify	 v. 使满足；使满意，使高兴
hypnotism	 n. 催眠术；催眠状态
dispel	 v. 驱散，驱逐；消除（烦恼等）
cosy	 adj. 舒适的；惬意的 n. 保温罩
check	 v. 检查，核对；制止，抑制；在…上打勾 n. <美>支票；制止，抑制；检验，核对
enlist	 v. 支持；从军；应募；赞助
formation	 n. 形成；构造；编队
electric	 adj. 电的；电动的；发电的；导电的；令人震惊的 n. 电；电气车辆；带电体
sideways	 adv. 向侧面地；向一旁 adj. 向侧面的；一旁的
overhear	 v. 无意中听到；偷听
caste	 n. （印度社会中的）种姓；（具有严格等级差别的）社会地位；（排他的）社会团体
hangman	 n. 刽子手；绞刑吏；执行绞刑者
misapprehend	 v. 误会，误解
serrated	 adj. [生物] 锯齿状的，有锯齿的 v. 使有锯齿（serrate的过去分词）
milestone	 n. 里程碑，划时代的事件
substandard	 adj. 不合规格的；标准以下的
meditate	 v. 考虑；计划；企图
spectacular	 adj. 壮观的，惊人的；公开展示的
intractable	 adj. 棘手的；难治的；倔强的；不听话的
nicotine	 n. [有化] 尼古丁；[有化] 烟碱
mandatory	 adj. 强制的；托管的；命令的 n. 受托者（等于mandatary）
ovum	 n. [细胞][组织] 卵；卵子；卵形装饰
anecdote	 n. 轶事；奇闻；秘史
thinker	 n. 思想家；思想者
