paragraph	 n. 段落；短评；段落符号 v. 将…分段
donate	 v. 捐赠；捐献 n. 捐赠；捐献
skirt	 n. 裙子 v. 绕过，回避；位于…边缘
shortage	 n. 缺乏，缺少；不足
racket	 n. 球拍；吵闹，喧闹 v. 过着花天酒地的生活
clergy	 n. 神职人员；牧师；僧侣
foreigner	 n. 外地人，外国人
embassy	 n. 大使馆；大使馆全体人员
compliment	 n. 恭维；称赞；问候；致意；道贺 v. 恭维；称赞
glimpse	 n. 一瞥，一看 v. 瞥见
whatsoever	 pron. 无论什么
soda	 n. 苏打；碳酸水
sock	 n. 短袜；一击 v. 重击；给……穿袜 adv. 正着地；不偏不倚地 adj. 非常成功的
sip	 n. 抿；小口喝；单列直插式组件 v. 啜饮
conform	 v. 符合；遵照；适应环境 adj. 一致的；顺从的
sunset	 n. 日落，傍晚
scenery	 n. 风景；景色；舞台布景
construct	 v. 建造，构造；创立 n. 构想，概念
warrant	 n. 根据；证明；正当理由；委任状 v. 保证；担保；批准；辩解
stupid	 adj. 愚蠢的；麻木的；乏味的 n. 傻瓜，笨蛋
brisk	 adj. 敏锐的，活泼的，轻快的；凛冽的 v. 活跃起来；变得轻快 n. (Brisk)人名；(法、芬)布里斯克
submerge	 v. 淹没；把…浸入；沉浸
wrench	 n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭 v. 扭伤；猛扭；曲解；折磨
wagon	 n. 货车，四轮马车 vt. 用运货马车运输货物
script	 n. 脚本；手迹；书写用的字母 v. 把…改编为剧本
saddle	 n. 鞍，鞍状物；车座；拖具 v. 承受；使负担；装以马鞍
sprout	 v. 发芽；长芽 n. 芽；萌芽；苗芽
comprise	 v. 包含；由…组成
coarse	 adj. 粗糙的；粗俗的；下等的
sew	 v. 缝合，缝上；缝纫
terminate	 v. 使终止；使结束；解雇 adj. 结束的
merry	 adj. 愉快的；微醉的；嬉戏作乐的 n. 甜樱桃
ruby	 n. 红宝石；红宝石色 adj. 红宝石色的 vt. 使带红宝石色
monarch	 n. 君主，帝王；最高统治者
consensus	 n. 一致；舆论；合意
plural	 adj. 复数的 n. 复数
instantaneous	 adj. 瞬间的；即时的；猝发的
dictation	 n. 听写；口述；命令
skate	 v. 滑冰；滑过 n. 溜冰；冰鞋
slaughter	 v. 屠宰，屠杀；杀戮；使惨败 n. 屠宰，屠杀；杀戮；消灭
audio	 adj. 声音的；[声] 音频的，[声] 声频的
correspondence	 n. 通信；一致；相当
audit	 v. 审计；[审计] 查账 n. 审计；[审计] 查账
deceit	 n. 欺骗；谎言；欺诈手段
throne	 n. 王座；君主；王权 v. 登上王座
sandwich	 v. 夹入；挤进；把做成三明治 n. 三明治；夹心面包
wedding	 n. 婚礼，婚宴；结婚；结合 v. 与…结婚（wed的ing形式）
recollect	 v. 回忆，想起
passport	 n. 护照，通行证；手段
fringe	 n. 边缘；穗；刘海 adj. 边缘的；附加的 v. 加穗于
scorn	 n. 轻蔑；嘲笑；藐视的对象 v. 轻蔑；藐视；不屑做
recipe	 n. 食谱；[临床] 处方；秘诀；烹饪法
glide	 v. 滑翔；滑行；悄悄地走；消逝 n. 滑翔；滑行；滑移；滑音
collar	 n. 衣领；颈圈 v. 抓住；给…上领子；给…套上颈圈
chew	 n. 咀嚼；咀嚼物 v. 嚼碎，咀嚼
renaissance	 n. 文艺复兴（欧洲14至17世纪）
weekend	 n. 周末，周末休假；周末聚会 adj. 周末的，周末用的 v. 度周末
apparatus	 n. 装置，设备；仪器；器官
approximate	 v. 近似；使…接近；粗略估计 adj. [数] 近似的；大概的
cradle	 n. 摇篮；发源地；发祥地；支船架 v. 抚育；把搁在支架上；把放在摇篮内
inhibit	 v. 抑制；禁止
chef	 n. 厨师，大师傅
auditorium	 n. 礼堂，会堂；观众席
pigeon	 n. 鸽子
avail	 n. 效用，利益 v. 有益于，有益于；使对某人有利。
credential	 n. 证书；凭据；国书
displace	 v. 取代；置换；转移；把…免职；排水
considerate	 adj. 体贴的；体谅的；考虑周到的
delivery	 n. [贸易] 交付；分娩；递送
sob	 v. 啜泣，呜咽；（风等）发出呜咽声 n. 啜泣，呜咽
spectacular	 adj. 壮观的，惊人的；公开展示的
terrify	 v. 恐吓；使恐怖；使害怕
hammer	 v. 锤击；敲打；重复 n. 铁锤；链球；[解剖] 锤骨；音锤
highland	 n. 高地；丘陵地带 adj. 高原的；高地的
apparent	 adj. 显然的；表面上的
ashore	 adv. 在岸上；向岸 adj. 在岸上的；在陆上的
nominate	 v. 推荐；提名；任命；指定
jacket	 n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹 v. 给…穿夹克；给…装护套；给…包上护封；〈口〉打
polar	 adj. 极地的；两极的；正好相反的 n. 极面；极线
scout	 n. 搜索，侦察；侦察员；侦察机 v. 侦察；跟踪，监视；发现
simultaneous	 adj. 同时的；联立的；同时发生的 n. 同时译员
disregard	 v. 忽视；不理；漠视；不顾 n. 忽视；不尊重
scholarship	 n. 奖学金；学识，学问
pollute	 v. 污染；玷污；败坏
stern	 n. 船尾；末端 adj. 严厉的；坚定的
triangle	 n. 三角（形）；三角关系；三角形之物；三人一组
accommodation	 n. 住处，膳宿；调节；和解；预订铺位
tobacco	 n. 烟草，烟叶；烟草制品；抽烟
expenditure	 n. 支出，花费；经费，消费额
chap	 n. 小伙子；家伙；龟裂 v. 使皲裂
chat	 v. 聊天；闲谈 n. 聊天；闲谈
beloved	 adj. 心爱的；挚爱的 n. 心爱的人；亲爱的教友
faulty	 adj. 有错误的；有缺点的
lever	 n. 杠杆；控制杆 v. 用杠杆撬动；把…作为杠杆
ski	 n. 滑雪橇 v. 滑雪 adj. 滑雪（用）的
november	 n. 十一月
premise	 v. 引出，预先提出；作为…的前提 n. 前提；上述各项；房屋连地基
escort	 n. 陪同；护航舰；护卫队；护送者 v. 护送；陪同；为…护航
indulge	 v. 满足；纵容；使高兴；使沉迷于…
suck	 v. 吸吮；吸取 n. 吮吸
league	 n. 联盟；社团；范畴 v. 使…结盟；与…联合
textile	 n. 纺织品，织物 adj. 纺织的
encyclopedia	 n. 百科全书（亦是encyclopaedia）
whichever	 pron. 任何一个；无论哪个 adj. 无论哪个；无论哪些
blouse	 n. 宽松的上衣；女装衬衫 vt. 使…宽松下垂 vi. 宽松下垂
stuff	 n. 东西；材料；填充物；素材资料 v. 塞满；填塞；让吃饱
bridge	 n. 桥；桥牌；桥接器；船桥 v. 架桥；渡过
heroine	 n. 女主角；女英雄；女杰出人物
erosion	 n. 侵蚀，腐蚀
conjunction	 n. 结合；[语] 连接词；同时发生
adverse	 adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
awful	 adj. 可怕的；极坏的；使人敬畏的
generator	 n. 发电机；发生器；生产者
steamer	 n. 轮船；蒸汽机；蒸笼
exhibition	 n. 展览，显示；展览会；展览品
premium	 n. 额外费用；奖金；保险费;(商)溢价 adj. 高价的；优质的
sly	 adj. 狡猾的；淘气的；诡密的 n. (Sly)人名；(英)斯莱
loosen	 v. 放松；松开 n. (Loosen)人名；(德)洛森
fossil	 n. 化石；僵化的事物；顽固不化的人 adj. 化石的；陈腐的，守旧的
compound	 n. [化学] 化合物；混合物；复合词 adj. 复合的；混合的 v. 合成；混合；恶化，加重；和解，妥协
intrude	 v. 把…强加；把…硬挤
conscientious	 adj. 认真的；尽责的；本着良心的；小心谨慎的
imperative	 adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；[语]祈使的 n. 必要的事；命令；需要；规则；[语]祈使语气
inspiration	 n. 灵感；鼓舞；吸气；妙计
scheme	 n. 计划；组合；体制；诡计 v. 搞阴谋；拟订计划
snow	 n. 雪，积雪；下雪 v. 降雪
murmur	 n. 低语；低语声；低声抱怨；潺潺声 v. 低声说；私下抱怨；发出轻柔持续的声音
homogeneous	 adj. 均匀的；[数] 齐次的；同种的；同类的，同质的
disturbance	 n. 干扰；骚乱；忧虑
monster	 n. 怪物；巨人，巨兽；残忍的人 adj. 巨大的，庞大的
compassion	 n. 同情；怜悯
afraid	 adj. 害怕的；恐怕；担心的
shower	 n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 v. 大量地给予；把……弄湿
northwest	 adj. 西北的；向西北的；来自西北的 n. 西北 adv. 在西北；向西北；来自西北
punctual	 adj. 准时的，守时的；精确的
shilling	 n. 先令
reed	 n. [作物] 芦苇；簧片；牧笛；不可依靠的人 vt. 用芦苇盖；用芦苇装饰
prosecute	 v. 检举；贯彻；从事；依法进行
erect	 v. 使竖立；建造；安装 adj. 竖立的；笔直的；因性刺激而勃起的
purify	 v. 净化；使纯净
reel	 v. 卷；眩晕；蹒跚地走；退缩 n. 蹒跚；眩晕；旋转
fault	 n. 故障；[地质] 断层；错误；缺点；毛病；（网球等）发球失误 v. 弄错；产生断层
feat	 n. 功绩，壮举；技艺表演 adj. 合适的；灵巧的
decrease	 n. 减少，减小；减少量 v. 减少，减小
scold	 v. 责骂；叱责 n. 责骂；爱责骂的人
salad	 n. 色拉；尤指莴苣
detain	 v. 拘留；留住；耽搁
album	 n. 相簿；唱片集；集邮簿；签名纪念册
loose	 adj. 宽松的；散漫的；不牢固的；不精确的 v. 释放；开船；放枪 adv. 松散地 n. 放纵；放任；发射
drought	 n. 干旱；缺乏
cherish	 v. 珍爱
jug	 n. [轻] 水壶；监牢 v. 关押；放入壶中
bribe	 v. 贿赂，收买 n. 贿赂
expedition	 n. 远征；探险队；迅速
pearl	 n. 珍珠；珍珠色；杰出者；珍品 adj. 镶珍珠的；珍珠状的 v. 采珍珠；成珍珠状
recite	 v. 背诵；叙述；列举
ambulance	 n. [车辆][医] 救护车；战时流动医院
brick	 n. 砖，砖块；砖形物；心肠好的人 v. 用砖砌 adj. 用砖做的；似砖的
sun	 n. 太阳 v. 使晒
panorama	 n. 全景，全貌；全景画；概论
disgust	 n. 厌恶，嫌恶 v. 使厌恶；使作呕
elder	 n. 老人；长辈；年长者；父辈 adj. 年长的；年龄较大的；资格老的
vanity	 n. 虚荣心；空虚；浮华；无价值的东西
clutch	 n. 离合器；控制；手；紧急关头 v. 攫；企图抓住 adj. 没有手提带或背带的；紧要关头的
fearful	 adj. 可怕的；担心的；严重的
accent	 n. 口音；重音；强调；特点；重音符号 v. 强调；重读；带…口音讲话
bride	 n. 新娘；姑娘，女朋友
rust	 n. 锈；生锈；[植保] 锈病 v. 使生锈；腐蚀
tractor	 n. 拖拉机；牵引机
confidential	 adj. 机密的；表示信任的；获信任的
bowl	 n. 碗；木球；大酒杯 v. 玩保龄球；滑动；平稳快速移动
rein	 n. 缰绳；驾驭；统治；支配 v. 控制；驾驭；勒住
ethnic	 adj. 种族的；人种的
punish	 v. 惩罚；严厉对待；贪婪地吃喝
descent	 n. 下降；血统；袭击 vt. 除去…的气味；使…失去香味
climax	 n. 高潮；顶点；层进法；极点
sauce	 n. 酱油；沙司；调味汁 v. 使增加趣味；给…调味
infinite	 adj. 无限的，无穷的；无数的；极大的 n. 无限；[数] 无穷大；无限的东西（如空间，时间）
organic	 adj. [有化] 有机的；组织的；器官的；根本的
outdoor	 adj. 户外的；露天的；野外的（等于out-of-door）
relish	 n. 滋味；风味；食欲；开胃小菜；含义；调味品 v. 盼望;期待;享受; 品味；喜爱；给…加佐料
descend	 v. 下降；下去；下来；遗传；屈尊
tight	 adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的 adv. 紧紧地；彻底地 n. (Tight)人名；(英)泰特
blind	 adj. 盲目的；瞎的 adv. 盲目地；看不见地 n. 掩饰，借口；百叶窗 v. 使失明；使失去理智
sword	 n. 刀，剑；武力，战争
selfish	 adj. 自私的；利己主义的
comrade	 n. 同志；伙伴
quart	 n. 夸脱（容量单位）；一夸脱的容器
magistrate	 n. 地方法官；文职官员；治安推事
tag	 n. 标签；名称；结束语；附属物 v. 尾随，紧随；连接；起浑名；添饰
standpoint	 n. 立场；观点
dial	 n. 转盘；刻度盘；钟面 v. 拨号
prototype	 n. 原型；标准，模范
corrupt	 adj. 腐败的，贪污的；堕落的 v. 使腐烂；使堕落，使恶化
conceal	 v. 隐藏；隐瞒
camel	 n. [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚 adj. 驼色的；暗棕色的 vi. 工作刻板平庸
wine	 n. 酒，葡萄酒；紫红色 v. 喝酒
wind	 n. 风；呼吸；气味；卷绕 v. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人
rude	 adj. 粗鲁的；无礼的；狂暴的；未开化的 n. (Rude)人名；(英、西、瑞典)鲁德；(法)吕德
enclosure	 n. 附件；围墙；围场
wink	 v. 眨眼；使眼色；闪烁 n. 眨眼；使眼色；闪烁；瞬间
applause	 n. 欢呼，喝采；鼓掌欢迎
boil	 v. 煮沸，沸腾；激动，激昂 n. 沸腾，煮沸；疖子
porter	 n. 门房；服务员；行李搬运工；守门人
parliament	 n. 议会，国会
humidity	 n. [气象] 湿度；湿气
tar	 n. 焦油；柏油；水手 v. 涂以焦油；玷污
tan	 n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团 v. 鞣（革）；晒成褐色 adj. 黄褐色的；鞣皮的
kneel	 v. 跪下，跪
doorway	 n. 门口；途径
tiger	 n. 老虎；凶暴的人
respective	 adj. 分别的，各自的
disposal	 n. 处理；支配；清理；安排
wardrobe	 n. 衣柜；行头；全部戏装
steak	 n. 牛排；肉排；鱼排
concede	 v. 承认；退让；给予，容许
edge	 n. 边缘；优势；刀刃；锋利 v. 使锐利；将…开刃；给…加上边
segregate	 v. 使隔离；使分离；在…实行种族隔离
heaven	 n. 天堂；天空；极乐
crisp	 adj. 脆的；新鲜的；易碎的 v. 使卷曲；使发脆 n. 松脆物；油炸马铃薯片
mathematical	 adj. 数学的，数学上的；精确的
wipe	 v. 擦；消除；涂上 n. 擦拭；用力打
typhoon	 n. [气象] 台风
nuisance	 n. 讨厌的人；损害；麻烦事；讨厌的东西
astonish	 v. 使惊讶
ankle	 n. 踝关节，踝
cupboard	 n. 碗柜；食橱
appendix	 n. 附录；阑尾；附加物
waitress	 n. 女服务员；女侍者 v. 做女服务生
steam	 v. 蒸，散发；用蒸汽处理 n. 蒸汽；精力 adj. 蒸汽的
goose	 n. 鹅；鹅肉；傻瓜；雌鹅 v. 突然加大油门；嘘骂
bolt	 n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷 v. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出 adv. 突然地；像箭似地；直立地
ruin	 n. 废墟；毁坏；灭亡 v. 毁灭；使破产
watt	 n. 瓦特
renew	 v. 使更新；续借；续费；复兴；重申
bold	 adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的 n. (Bold)人名；(英、德、罗、捷、瑞典)博尔德
enquire	 v. 询问；调查；问候（等于inquire）
caress	 v. 爱抚，抚抱 n. 爱抚，拥抱；接吻
murder	 v. 谋杀，凶杀 n. 谋杀，凶杀
eagle	 n. 鹰；鹰状标饰
clasp	 n. 扣子，钩子；握手 v. 紧抱；扣紧；紧紧缠绕
wire	 n. 电线；金属丝；电报 v. 拍电报；给…装电线
marginal	 adj. 边缘的；临界的；末端的
bully	 n. 欺凌弱小者；土霸 adj. 第一流的；特好的 v. 欺负；威吓 adv. 很；十分 int. 好；妙
northern	 adj. 北部的；北方的 n. 北部方言
pierce	 v. 刺穿；洞察；响彻；深深地打动
ambassador	 n. 大使；代表；使节
bomb	 v. 轰炸，投弹于 n. 炸弹
hatch	 n. 孵化；舱口 v. 孵；策划
rebellion	 n. 叛乱；反抗；谋反；不服从
clash	 n. 冲突，不协调；碰撞声，铿锵声 v. 冲突，抵触；砰地相碰撞，发出铿锵声
barbecue	 n. 烤肉；吃烤肉的野宴 v. 烧烤；烤肉
pneumonia	 n. 肺炎
bond	 n. 债券；结合；约定；粘合剂；纽带 v. 结合，团结在一起
satisfactory	 adj. 满意的；符合要求的；赎罪的
bone	 n. 骨；骨骼 v. 剔去的骨；施骨肥于
triple	 adj. 三倍的；三方的 n. 三倍数；三个一组 v. 增至三倍
wash	 n. 洗涤；洗的衣服；化妆水；冲积物 v. 洗涤；洗刷；冲走；拍打
rhythm	 n. 节奏；韵律
coalition	 n. 联合；结合，合并
brake	 v. 刹车 n. 闸，刹车；阻碍
distress	 n. 危难，不幸；贫困；悲痛 v. 使悲痛；使贫困
mistake	 n. 错误；误会；过失 v. 弄错；误解
gesture	 n. 姿态；手势 v. 作手势；用动作示意
steel	 n. 钢铁；钢制品；坚固 v. 钢化；使冷酷 adj. 钢制的；钢铁业的；坚强的
casualty	 n. 意外事故；伤亡人员；急诊室
ruler	 n. 尺；统治者；[测] 划线板，划线的人
rubbish	 n. 垃圾，废物；废话 adj. 毫无价值的
entry	 n. 进入；入口；条目；登记；报关手续；对土地的侵占
alliance	 n. 联盟，联合；联姻
moisture	 n. 水分；湿度；潮湿；降雨量
